-16205	-4533	9674	-13759	-17333	15978
-4059	5632	6824	8157	-12847	15998
357	-3431	10004	-11530	-1632	9296
-211	-7613	9475	-2272	4394	-3615
-2653	-162	15741	4819	9701	-11825
-10320	-3433	16161	6200	4196	-2401
-3497	-13421	21527	1065	4085	-7906
-3377	3397	9554	16321	1213	-1056
-6299	-3690	4692	6985	-1511	-115
-6076	-3056	4823	6790	-1127	-1991
-5581	3015	5024	4498	-971	-8712
-8851	15546	13612	-4617	-12608	7515
-16966	-6322	-114	-3019	-18777	15728
-4344	1291	11651	-12969	-1746	16046
-703	-5533	8250	-5588	4562	3372
-3343	-5551	11560	6711	7815	-8519
-14070	14319	14357	-9174	4534	-3270
-5481	-10462	-10386	23794	765	-4883
-5238	10987	3808	-1137	7730	-6250
-6080	-278	7027	4712	-1910	-1323
-3602	-497	2999	5544	581	-1942
-5678	1590	3683	7789	-898	-8463
-10327	15083	12056	-9112	-3760	2929
-19782	-3026	266	-8866	-10397	15702
-5790	2926	9049	-13818	1313	16835
-843	-6694	6784	-11306	5636	7782
-2628	-8310	9632	6269	10316	-7736
-8629	30384	20373	-6691	2503	-325
-5395	-7806	-23521	14936	10855	-614
-10256	6563	-1126	3214	9098	-7233
-6391	-208	8340	6306	1695	1
-5925	-3959	4943	6362	227	-1518
-4783	1773	3520	6900	-1701	-7905
-10898	16836	10560	-2715	-9212	2533
-20500	-7228	1445	-2010	-20042	15196
-2991	-32	12170	-7904	-3074	15261
-1045	-6303	7951	-10873	1170	4904
-2272	-5014	10400	4200	7059	-8227
-8993	31839	27282	-11173	4741	-7179
-31739	2817	28979	-8936	-9357	-8107
-1907	5398	-807	877	8603	-6557
-5087	7304	9164	5707	2939	-1860
-2825	2429	4887	4822	1616	-3001
-7325	-1863	4765	4021	1602	-6418
-6807	8755	5508	-3752	-717	-2090
-14287	1298	9715	-20647	-15132	15800
-5068	4871	5537	7283	-9561	14120
-1200	-4996	7366	-15341	5491	10092
-3217	-5446	10070	-2093	6092	-89
-4971	2017	16694	7889	10897	-10811
-15826	-9368	6058	26077	3621	-8924
-1946	6840	10615	4933	-5002	-7876
-4427	2733	8283	14612	-4367	1438
-4883	-991	4255	8055	-199	-2959
-8099	-876	4487	7760	-2341	-9741
-6170	11097	7440	-2064	-4217	-1128
-23860	-1669	7071	-11477	-16128	21959
-4387	7682	12618	-18089	-1125	28149
4785	-10191	6195	-12578	-2479	5815
-2135	-8912	10864	17083	15739	-18042
-19631	116	3896	14868	12667	-2831
2120	-3875	8256	6862	7545	-10519
-5215	-1565	9209	5666	2516	-954
-5587	-2737	4443	2515	2194	-2746
-9559	-3878	5326	6528	2829	-5601
-3246	12402	5784	122	-994	-5304
-14671	2651	9254	-14610	-18057	18883
-7777	7163	7192	-1838	-8302	19100
491	-7234	6221	-18691	3616	9884
175	-6851	8802	-1392	5626	-1677
-5488	-2982	11956	12341	12933	-13799
-20410	14617	10963	2972	7468	-357
-877	-640	9586	5598	8436	-9360
-4076	2581	8159	11559	2612	-2404
-4348	-4685	2226	6099	998	-643
-6655	-4047	3254	8596	-1718	-5711
-3975	7078	4393	7077	-2892	-6327
-12737	10627	11464	-10162	-9892	16203
-8388	1375	7945	-1699	-9919	16668
-3403	-4026	6687	-13083	-3148	11275
334	-3247	7176	-3761	1634	3438
-3334	-2010	11724	-315	10921	-11933
-11371	8581	11125	-2128	6366	-625
-3360	-3464	158	13358	537	-6762
-4005	5677	8271	3663	3492	807
-6374	590	3839	54	2696	-3438
-5731	-2271	6688	3211	2091	-3767
-4860	2222	4835	7440	-1399	-8793
-6568	15439	10033	2075	-10519	2239
-18577	-2798	6805	-7317	-12943	17696
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
-22806	-1633	8383	22394	7910	-13875
-10487	-15167	1629	15905	4441	-6564
-1472	-5185	1366	6673	2483	-2296
-5466	-3564	5290	2240	1938	-2444
-8530	-2962	4589	9595	-2103	-6065
-2199	8779	3504	-269	-1754	-3874
-16233	4932	11324	-21170	-14235	17113
-6647	5544	6155	-83	-11669	18089
-2600	-4211	6900	-11085	2082	10163
-1446	-8087	11537	-4218	6049	-1638
-3331	7470	15557	8438	11981	-8184
-16541	-6192	7722	16163	8455	-9102
-2436	476	8473	6626	956	-10802
-4907	-4509	4989	10114	2203	-2678
-3510	-2112	3023	6680	-1115	-1436
-8366	-3643	5156	8225	-2187	-4607
-4827	9546	4448	3211	-2487	-6005
-8931	8834	13432	-15502	-15679	13105
-9042	2365	4651	2284	-11761	18804
-3153	-4455	8236	-14358	2633	12749
-518	-10644	8245	-6411	4230	189
-3598	-1068	14761	10191	10807	-11026
-12290	-7747	11200	10477	6149	-7904
-5380	-6110	2362	13326	3538	-10091
-4695	-3318	2377	11816	1520	-3442
-5092	-2156	3883	6693	-2193	134
-9014	-3939	6316	5336	174	-4344
-5701	8323	5520	787	-1005	-5484
-14343	7868	15930	-22077	-17150	14368
-5650	694	6404	6195	-12162	18794
-1502	-5429	7114	-14711	5477	9666
-1929	-8711	9372	-2138	6945	-1930
-8039	2285	15350	10954	13179	-11988
-13563	-14506	6231	23371	5238	-10198
356	-2140	13613	8749	6063	-7453
-3698	-2900	107	10926	1803	-1216
-4251	33	4264	4694	953	-2145
-7727	-2625	4270	7385	305	-7230
-2506	9072	3068	4025	-3566	-5536
-13773	5035	15795	-18132	-17722	15940
-10250	5971	7130	4901	-13839	19523
-734	-5875	8337	-12964	2185	9400
-1326	-9517	10729	-3489	4305	-3014
-1858	2177	17672	7162	13606	-13678
-13964	-12798	10999	12217	5522	-9054
-4396	-6334	6818	9624	5271	-6469
-2227	-1720	1019	11372	2162	-3035
-5276	-4333	4263	5029	-311	-1820
-7096	-1947	3992	7852	-938	-6344
-5662	10583	5758	-2423	-1423	-4081
-12251	6475	4472	-15408	-18658	19321
-7610	-253	8987	-889	-4541	16243
-2856	-7248	7719	-13542	1580	10391
-585	-7179	8137	-1511	3048	-3491
-3650	10940	17015	8777	12497	-13463
-11942	-12671	8615	32767	86	-13167
-6281	-6230	10200	20950	7006	-5339
-3616	-1556	3338	11203	397	-2275
-4632	-551	4215	3511	1467	-3047
-8613	-2878	3861	5025	-31	-8161
-9248	8958	7967	-1720	-3400	-1216
-14746	-3623	3968	-13395	-14198	20659
-6233	3406	9716	-7591	-6118	15918
-2133	-6827	8022	-14454	3712	7949
-1438	-7565	9324	4138	4532	-7004
-5602	30410	21230	4441	8896	-5709
-32768	-5919	29927	8001	4783	-20965
-4691	2868	-1276	11206	5099	-9046
-4324	3571	4275	4679	-790	-1468
-4065	-1504	3024	7208	-1192	-1102
-6788	-1157	4832	6042	-1058	-7317
-6316	10443	6693	-3616	-5342	-1448
-22646	-5003	5921	-16731	-17095	19212
-4797	3168	9113	-6945	-2811	17363
-189	-6675	7051	-15510	6050	6653
-2048	-8343	9344	1585	4384	-5706
-8816	21087	27962	9390	11403	-13210
-13505	2158	12305	-2646	-8060	-4262
-3538	-1722	-4962	4078	4994	-6181
-5494	4677	4368	5676	85	-751
-4771	-2108	4251	4306	-373	-3580
-6510	-561	4911	4927	-1121	-7390
